Year,France,Germany,Italy
1990,3.45,2.65,
1991,3.45,2.9,
1992,3.56,3.27,
1993,3.41,3.07,3.68
1994,3.59,3.52,3.7
1995,4.26,3.96,4.0
1996,4.41,3.94,4.39
1997,4.0,3.53,4.07
1998,3.87,3.34,3.84
1999,3.85,3.42,3.87
2000,3.8,3.45,3.77
2001,3.51,3.4,3.57
2002,3.62,3.67,
2003,4.35,4.59,
2004,4.99,5.24,
2005,5.46,5.66,
2006,5.88,6.03,6.1
2007,6.6,6.88,6.73
2008,7.51,7.75,7.63
